City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Anchorage,US,2021-09-21 21:24:59,61.2181,-149.9003,45.43,48,1,13.0
184,Zeya,RU,2021-09-21 21:25:42,53.75,127.2667,41.25,87,7,5.48
185,Kavieng,PG,2021-09-21 21:25:42,-2.5744,150.7967,81.59,77,99,9.69
186,Kibre Mengist,ET,2021-09-21 21:25:43,5.8833,38.9833,60.26,90,100,1.19
187,Karratha,AU,2021-09-21 21:25:43,-20.7377,116.8463,79.36,22,100,22.1
188,Sorland,NO,2021-09-21 21:22:14,67.667,12.6934,50.85,88,100,37.18
189,Chuy,UY,2021-09-21 21:25:44,-33.6971,-53.4616,53.8,77,8,11.74
190,Lingyuan,CN,2021-09-21 21:25:44,41.24,119.4011,53.8,81,89,4.41
191,Buin,CL,2021-09-21 21:25:44,-33.7333,-70.75,62.92,60,0,8.37
192,Esperance,AU,2021-09-21 21:22:33,-33.8667,121.9,56.14,41,2,16.24
193,Monte Carmelo,BR,2021-09-21 21:25:45,-18.7247,-47.4986,90.19,18,82,6.64
194,Izhma,RU,2021-09-21 21:25:45,65.0083,53.9113,40.57,79,100,4.61
195,Teguldet,RU,2021-09-21 21:25:46,57.3064,88.1667,29.95,99,72,5.73
196,Sohag,EG,2021-09-21 21:25:46,26.557,31.6948,89.15,22,0,12.12
197,Geraldton,AU,2021-09-21 21:25:47,-28.7667,114.6,54.01,35,0,13.8
198,Truro,GB,2021-09-21 21:25:47,50.2653,-5.0544,59.56,100,20,3.44
199,Gunjur,GM,2021-09-21 21:25:47,13.2019,-16.7339,82.47,89,0,5.75
200,Arani,IN,2021-09-21 21:25:48,12.6667,79.2833,79.36,73,91,5.21
201,Arlit,NE,2021-09-21 21:25:48,18.7369,7.3853,94.14,11,0,1.07
202,Nefteyugansk,RU,2021-09-21 21:25:48,61.0998,72.6035,35.85,97,100,9.15
203,Lompoc,US,2021-09-21 21:25:49,34.6391,-120.4579,100.54,67,1,13.8
204,Haimen,CN,2021-09-21 21:25:49,23.1935,116.6142,80.49,85,97,0.87
205,Mecca,SA,2021-09-21 21:25:49,21.4267,39.8261,93.18,31,96,1.74
206,Linares,CL,2021-09-21 21:25:50,-35.85,-71.6,66.54,57,0,9.62
207,Lhokseumawe,ID,2021-09-21 21:23:45,5.1801,97.1507,75.63,88,82,5.14
208,Nemuro,JP,2021-09-21 21:25:50,43.3236,145.575,61.03,95,92,18.57
209,Gladstone,AU,2021-09-21 21:25:51,-23.85,151.25,55.33,35,0,11.5
210,Lixourion,GR,2021-09-21 21:25:51,38.2019,20.4314,74.34,72,0,11.79
211,Faanui,PF,2021-09-21 21:25:52,-16.4833,-151.75,78.48,72,11,8.61
212,Merauke,ID,2021-09-21 21:25:52,-8.4667,140.3333,76.41,87,75,10.18
213,Cayenne,GF,2021-09-21 21:25:52,4.9333,-52.3333,86.04,76,0,5.01
214,Bathsheba,BB,2021-09-21 21:25:53,13.2167,-59.5167,86.61,70,40,12.66
215,Fortuna,US,2021-09-21 21:25:53,40.5982,-124.1573,93.18,34,1,3.0
216,Qaqortoq,GL,2021-09-21 21:25:53,60.7167,-46.0333,37.9,76,100,4.38
217,Port Blair,IN,2021-09-21 21:25:54,11.6667,92.75,78.78,85,100,14.83
218,Bhainsdehi,IN,2021-09-21 21:25:54,21.6467,77.6325,69.78,96,100,4.52
219,Razumnoye,RU,2021-09-21 21:25:54,50.5344,36.6846,45.68,87,75,6.71
220,Mattru,SL,2021-09-21 21:25:55,7.6244,-11.8332,74.8,96,99,3.29
221,Ughelli,NG,2021-09-21 21:25:55,5.4899,6.0074,72.54,97,100,1.83
222,Xuddur,SO,2021-09-21 21:25:56,4.1213,43.8894,73.58,57,41,17.6
223,Tarakan,ID,2021-09-21 21:25:56,3.3,117.6333,74.7,100,40,2.3
224,Necochea,AR,2021-09-21 21:25:56,-38.5473,-58.7368,55.04,66,0,8.43
225,Waldheim,DE,2021-09-21 21:25:57,51.0667,13.0167,53.76,86,100,8.97
226,Pevek,RU,2021-09-21 21:25:57,69.7008,170.3133,25.99,85,76,8.25
227,Kankon,IN,2021-09-21 21:25:58,15.0167,74.0167,76.8,89,99,7.27
228,Aykhal,RU,2021-09-21 21:25:58,66.0,111.5,38.19,86,100,3.94
229,Ciudad Real,ES,2021-09-21 21:25:59,39.0,-4.0,64.06,64,0,1.99
230,Grand Forks,US,2021-09-21 21:25:59,47.9417,-97.4337,67.93,36,40,11.5
231,Rio Grande,BR,2021-09-21 21:23:51,-32.035,-52.0986,60.91,69,86,16.13
232,Pangai,TO,2021-09-21 21:25:59,-19.8,-174.35,77.11,73,75,13.8
233,Saint Anthony,US,2021-09-21 21:26:00,45.0205,-93.218,67.89,50,20,1.99
234,Hlatikulu,SZ,2021-09-21 21:26:00,-26.9667,31.3167,46.83,78,73,2.06
235,Alofi,NU,2021-09-21 21:26:01,-19.0595,-169.9187,78.69,83,75,6.91
236,Sumbe,AO,2021-09-21 21:26:01,-11.2061,13.8437,71.19,88,25,8.12
237,Ahipara,NZ,2021-09-21 21:26:01,-35.1667,173.1667,60.98,82,100,18.1
238,Biak,ID,2021-09-21 21:26:02,-0.9131,122.8766,71.22,90,100,4.45
239,Bom Jesus,BR,2021-09-21 21:21:32,-9.0744,-44.3586,90.25,18,24,4.43
